14	34	1	4	8	6	22	13	33	25	4	28	9	6	14	24	3	36	31	25
12	10	36	32	19	5	19	17	24	18	13	11	3	27	26	12	3	18	26	34
1	34	19	4	20	10	30	12	25	3	36	30	6	17	24	23	29	9	24	13
29	1	26	28	14	35	28	4	28	30	20	16	6	9	33	5	32	10	1	4
31	6	15	13	15	31	31	21	15	13	1	28	25	4	23	15	28	25	36	28
0	28	32	25	6	4	25	22	30	18	0	27	18	36	10	0	25	4	0	5
24	6	21	18	17	11	29	0	22	5	7	8	15	20	9	27	13	19	31	36
15	30	31	15	5	24	17	30	9	33	8	28	29	2	15	3	21	21	15	32
12	35	24	23	2	3	5	7	22	13	12	10	10	1	23	34	5	3	9	8
26	5	24	27	33	23	30	17	27	22	2	35	36	9	23	35	0	0	5	26
23	35	26	17	31	7	22	4	25	30	30	32	7	34	30	23	25	6	26	35
16	11	1	14	15	24	15	34	4	0	31	27	16	2	26	2	34	10	3	27
21	4	33	14	34	23	10	32	25	14	34	26	29	3	33	6	19	26	0	4
20	18	15	29	16	20	33	10	16	22	33	19	27	2	28	30	3	29	21	25
25	27	16	13	14	21	22	1	29	7	2	31	0	10	35	18	25	9	4	34
23	35	5	15	26	8	26	28	3	18	24	36	6	0	16	23	10	25	17	26
14	20	17	13	6	24	34	16	22	8	9	26	32	2	22	33	16	17	35	8
15	0	18	36	21	29	13	9	12	28	13	27	25	16	7	16	24	10	23	35
0	9	28	3	13	34	2	23	3	24	4	31	18	3	27	16	23	34	25	25
33	35	28	12	18	6	32	2	32	20	30	5	11	29	22	6	14	31	7	31
32	11	15	13	10	23	11	25	18	23	3	18	0	34	34	29	9	30	21	23
0	9	32	11	22	21	17	4	28	30	13	30	16	21	19	8	7	36	32	22
30	20	35	0	25	35	15	34	3	13	24	19	36	35	15	5	9	12	8	14
32	6	1	17	7	5	25	15	32	29	33	16	14	13	24	18	2	22	13	13
32	35	24	20	35	18	0	30	1	7	13	36	18	14	21	7	3	30	31	11
15	9	16	22	21	20	10	24	0	36	0	6	9	36	4	9	36	28	29	1
23	7	18	31	6	14	24	7	22	23	14	22	23	17	24	6	24	22	6	21
15	35	6	21	36	8	23	23	25	28	17	26	1	34	23	3	24	8	3	27
8	19	8	25	24	25	16	26	36	32	33	19	15	25	0	7	14	20	6	0
22	19	26	1	19	32	21	22	26	2	17	35	24	30	17	11	33	18	32	7
7	7	8	3	18	28	32	9	7	23	30	2	20	7	7	17	8	22	22	1
8	20	19	24	23	19	32	36	19	28	23	5	22	12	18	36	19	11	2	13
5	31	29	6	35	14	14	16	11	12	23	6	32	14	3	3	12	8	30	6
12	21	19	30	26	6	35	17	15	11	1	27	28	17	32	15	9	9	14	9
9	13	14	20	22	28	4	16	2	28	15	0	31	16	28	1	16	8	33	32
28	35	32	16	35	18	0	36	17	9	13	21	25	24	35	25	8	21	11	26
6	22	23	14	19	33	27	19	27	34	35	8	19	26	26	17	5	0	32	30
12	4	34	29	5	36	8	8	11	5	23	9	7	17	25	25	22	12	3	22
36	1	20	28	19	31	35	9	36	13	15	12	18	31	30	4	14	9	34	2
21	21	4	31	34	18	20	29	12	31	28	5	14	19	21	4	36	6	30	28
24	7	6	31	6	8	10	20	27	8	15	20	25	26	25	21	16	36	28	30
24	27	26	35	0	21	22	11	28	7	36	30	12	10	0	14	14	20	28	4
9	10	36	32	23	11	11	29	24	19	12	8	0	32	31	7	12	6	24	13
30	25	3	29	4	29	7	31	17	35	3	30	14	8	32	3	27	35	20	24
18	19	29	22	4	11	34	5	32	26	20	9	15	23	15	33	35	24	22	29
6	11	24	1	36	11	18	36	6	6	2	26	1	33	31	29	33	7	36	5
16	15	35	26	11	2	27	15	5	19	13	3	9	22	34	32	21	15	19	17
36	5	9	16	15	6	18	22	4	2	2	35	16	0	29	10	24	2	13	13
8	16	13	23	8	10	35	28	13	25	24	29	1	15	7	15	17	18	32	2
18	1	13	13	0	7	11	1	23	16	3	36	17	12	26	33	3	25	25	12
34	6	1	21	35	26	5	21	19	11	31	16	10	25	26	21	1	11	7	34
34	18	6	30	4	13	0	1	36	3	32	14	7	16	23	11	10	13	7	34
35	10	25	25	3	6	22	25	31	6	29	5	31	18	13	4	12	32	34	4
33	24	0	35	1	13	36	2	36	22	29	2	14	9	35	28	3	23	5	16
18	31	20	36	7	29	7	3	22	25	8	18	6	15	16	4	18	15	26	34
8	32	26	28	10	12	18	31	23	0	12	32	8	28	28	11	29	10	4	17
36	33	20	0	0	18	17	16	4	10	24	31	15	17	26	36	31	0	16	34
6	4	11	33	23	11	11	20	35	33	27	16	9	6	4	7	23	25	33	30
36	0	12	13	2	6	7	13	27	27	2	10	25	20	3	15	29	34	11	12
20	1	7	18	2	0	8	5	17	32	27	10	2	6	28	33	10	35	35	33
33	29	28	1	20	15	6	28	33	1	4	22	9	21	28	17	22	15	31	3
30	5	35	28	8	1	7	10	22	19	12	9	24	17	5	16	16	11	28	12
6	17	12	33	9	35	34	30	29	24	33	12	28	7	21	35	10	19	2	20
28	24	15	26	29	11	32	20	3	26	17	0	4	13	10	31	11	30	33	0
25	15	21	32	23	17	22	15	31	23	23	18	23	19	7	22	15	12	0	15
27	15	26	18	14	2	0	22	20	13	30	11	9	33	35	27	3	28	25	5
20	10	34	23	30	20	3	0	16	6	21	13	3	31	16	0	3	8	1	35
15	14	29	12	36	30	29	17	34	34	29	24	19	8	33	22	17	16	33	35
17	17	18	28	21	12	2	34	0	22	26	36	21	10	24	1	22	29	21	12
33	25	21	10	12	13	2	34	18	23	22	1	29	34	36	20	15	3	35	32
2	24	6	31	16	16	10	9	29	19	17	11	35	5	32	18	30	13	19	4
18	8	30	6	0	34	34	14	3	20	33	2	20	16	25	5	30	33	22	10
3	9	12	7	26	5	0	33	26	22	2	16	11	5	27	32	36	8	32	29
